"session","exam","year","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","question_page_start","question_page_end","mark_scheme_start_page","mark_scheme_end_page","has_figure","figure_labels_joined","has_table","table_labels_joined","source_qp","source_ms"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.2","short answer","2","AO2","5.1.2.6, 5.2.1.4","A fluorine atom has 7 electrons in the outer shell.
Figure 8 shows part of a dot and cross diagram to represent a molecule of fluorine (F2).
Complete the dot and cross diagram.
You should show only the electrons in the outer shells.
[2 marks]
Figure 8","one shared pair anywhere in overlap between two circles or on intersection 6 other electrons on each atom","allow dots or crosses or mixture 
for all marks
ignore any inner shell electrons","8","8","11","11","true","Figure 8","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.3","short answer","2","AO2","5.1.1.1, 5.1.2.6","Chlorine reacts with potassium bromide solution. 
Complete the word equation.
[2 marks]
potassium
chlorine + bromide → ____________________ + ____________________","bromine potassium chloride","allow correct chemical formulae
either order","8","9","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.4","multiple choice","1","AO1","5.1.2.6","What type of reaction happens when chlorine reacts with potassium bromide solution?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | decomposition |
| ☐ | displacement |
| ☐ | neutralisation |
| ☐ | precipitation |","displacement","","9","9","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.5","short answer","1","AO2","5.1.2.6","Complete the sentence.
Choose the answer from the box.
[1 mark]
an atom  an electron  a neutron  a proton
Chlorine is more reactive than bromine.
This is because chlorine gains ____________________ more easily.","(an) electron","","9","9","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.6","short answer","1","AO2","5.1.2.1, 5.1.2.6","How does the size of a chlorine atom compare with the size of a bromine atom?
Complete the sentence.
Choose the answer from the box.
[1 mark]
bigger than  the same size as  smaller than
A chlorine atom is ____________________ a bromine atom.","smaller than","","9","10","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.7","short answer","1","AO2","5.1.2.1, 5.1.2.6","Give a reason for your answer to question 02.6
[1 mark]
Reason
____________________","(chlorine has) fewer levels / shells (of electrons)","mark independent of answer to
question 02.6
allow converse for bromine
allow (chlorine has) fewer 
electrons
allow Cl has 3 levels / shells and
Br has 4 levels / shells
ignore atomic number 
or mass number 
or number of protons ","10","10","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.8","short answer","1","AO2","5.1.1.1, 5.1.2.6","Fluorine reacts with chlorine to produce ClF3
Balance the chemical equation for the reaction.
[1 mark]
Cl2 + F2 → ____________________","3","allow multiples","10","10","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.9","extended response","3","AO1","5.1.2.6, 5.2.2.4","Explain why fluorine is a gas at room temperature.
Use the following words in your answer:
energy forces molecules weak
[3 marks]","there are weak forces between molecules which require little energy to overcome / break","do not accept weak bonds
allow weak intermolecular forces 
for the first 2 marks
allow does not need much 
energy to boil","10","11","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","3","03.1","multiple choice","1","AO1","5.4.2.4","Which ion is found in all acids?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | Cl– |
| ☐ | H+ |
| ☐ | Na+ |
| ☐ | OH– |","H+","","11","11","12","12","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","3","03.2","short answer","2","AO2","5.4.2.3","Zinc nitrate can be produced by reacting an acid and a metal oxide.
Name the acid and the metal oxide used to produce zinc nitrate.
[2 marks]
Acid ____________________
Metal oxide ____________________","nitric (acid) or HNO3 zinc (oxide) or ZnO this order only","","11","11","12","12","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","3","03.3","multiple choice","1","AO1","5.1.1.1","In an equation, zinc nitrate is written as Zn(NO3)2(aq).
What does (aq) mean?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | Dissolved in water |
| ☐ | Insoluble |
| ☐ | Not all reacted |
| ☐ | Reactant |","dissolved in water","","11","11","12","12","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","3","03.4","short answer","1","AO2","5.4.2.4","The pH of a solution is 8
Some hydrochloric acid is added to the solution.
Suggest the pH of the solution after mixing.
[1 mark]
pH = ____","any value from 0 to less than 8","","11","11","12","12","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","3","03.5","extended response","4","AO3","5.1.2.3, 5.4.2.4","Table 2 shows the solubility of three solids in water at room temperature.

Table 2
| Solid             | The mass of the solid that dissolves in 100 cm3 of water |
|-------------------|-------------------------------------------------------|
| Phosphorus oxide  | 50 g                                                  |
| Silicon dioxide   | 0 g                                                   |
| Sodium hydroxide  | 100 g                                                 |

A teacher labelled these three solids A, B and C.
She gave a student the information shown in Table 3

Table 3
| Solid | Observation when added to water | pH of the solid in water |
|-------|---------------------------------|-------------------------|
| A     | colourless solution             | 14                      |
| B     | colourless solution             | 2                       |
| C     | solid does not dissolve         | 7                       |

Describe a method that could be used to identify each of the three solids A, B and C.
You must use an indicator in the method.
Use information in Table 2 and Table 3
[4 marks]","Level 2: The method would lead to the production of a valid outcome. Key steps are identified and logically sequenced. 3–4
AO3
Level 1: The method would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear. 1–2
AO2
No relevant content 0

Indicative content:
• add universal indicator or wide range indicator
indicator turns blue / purple / violet (because pH = 14) or has highest pH or is an alkali so A is sodium hydroxide
indicator turns red (because pH = 2) or has lowest pH or is an acid so B is phosphorus oxide
indicator turns green (because pH = 7) or neutral so C is silicon dioxide
• add solid to water
A and B dissolve; C does not so C is silicon dioxide","","12","13","12","13","false","","true","Table 2, Table 3","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.1","multiple choice","1","AO2","5.1.2.1","This question is about the elements in Group 2 of the periodic table.
Figure 9 shows the positions of four elements, A, B, C, and D, in the periodic table.
Figure 9
Which element is in Group 2?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | A |
| ☐ | B |
| ☐ | C |
| ☐ | D |","B","","13","14","13","13","true","Figure 9","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.2","short answer","2","AO1","5.1.1.1, 5.3.1.3","Group 2 metal carbonates break down when heated to produce a metal oxide and a gas.
metal carbonate → metal oxide + gas
Name the two products when calcium carbonate (CaCO3) is heated.
[2 marks]
____________________ and ____________________","calcium oxide or CaO
carbon dioxide or CO2
either order","","14","14","14","14","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.3","multiple choice","1","AO1","5.3.1.3","What type of reaction happens when a compound breaks down?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | burning |
| ☐ | decomposition |
| ☐ | neutralisation |
| ☐ | reduction |","decomposition","","14","14","14","14","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.4","multiple choice","1","AO1","5.5.1.1","The metal carbonate takes in energy from the surroundings to break down.
What type of reaction takes in energy from the surroundings?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | combustion |
| ☐ | electrolysis |
| ☐ | endothermic |
| ☐ | exothermic |","endothermic","","14","14","14","14","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.5","calculation","1","AO2","5.3.1.3","Figure 10 shows the volume of gas produced when a Group 2 metal carbonate is heated.
Figure 10
The student collected 5.2 dm3 of gas.
What mass of the Group 2 metal carbonate is heated?
[1 mark]
Mass = ____ g","32 (g) allow 31‒33 (g)","","15","15","15","15","true","Figure 10","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.6","calculation","2","AO3","5.3.1.3","Calculate the mass of the Group 2 carbonate needed to produce 24 dm3 of gas.
Use your answer from question 04.5 to help you.
[2 marks]
Mass = ____ g","32 / 5.2 × 24 = 148 (g)
or
uses graph eg 12 dm3 gives 74 (g) (1)
(then factors up so that 24 dm3 gives) 148 (g) (1)
an answer of 148 (g) scores 2 marks
allow ecf from question 04.5
allow a range 143‒153 (g)","an answer of 148 (g) scores 2
marks
allow ecf from question 04.5
allow a range 143‒153 (g)
allow a range 143‒153 (g)","15","15","15","15","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.7","calculation","4","AO3","5.3.1.3","A student heated different masses of a Group 2 carbonate. The student measured the volume of gas produced. 
Figure 11 shows a graph of the student’s results.
The student calculates the gradient of the line in Figure 11
The student makes two mistakes.
Figure 11
Correct formula for gradient = Increase in volume of gas / Increase in mass of Group 2 metal carbonate heated
Student’s calculation = 4 / 750 = 0.00533 cm3 per g
Identify the two mistakes the student makes.
Calculate the correct gradient of the line.
[4 marks]
Mistake 1 ____________________
Mistake 2 ____________________
Calculation
Gradient = ____ cm3 per g","(mistakes)
increase in mass = 3 (not 4)
inserted numbers inversely into formula
(calculation)
gradient = 750 / 3 = 250 (cm3 per g)","mark mistakes and calculation 
independently
allow mistakes in either order 
allow numbers wrong way round
an answer of 250 scores the 2
calculation marks
allow 
1000
4
if no calculation marks awarded 
allow
750
3 or 187.5 or
3
750
or 0.004 for 1 mark","16","17","16","17","true","Figure 11","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","4","04.8","calculation","4","AO2","5.3.1.2, 5.3.1.3, 5.1.1.5","A student repeated the experiment with a different Group 2 metal carbonate (XCO3).
The relative formula mass (Mr) of XCO3 is 84
Relative atomic masses (Ar): C = 12 O = 16
Calculate the relative atomic mass (Ar) of X. 
Name metal X. 
Use the periodic table.
[4 marks]
Relative atomic mass (Ar) = ____
Metal X is ____________________","3 × 16 = 48
48 + 12 = 60
84 − 60 = 24
magnesium or Mg","an answer of 24 scores the 3
calculation marks
allow their mass of oxygen + 12
allow 84 − their mass of 
carbonate
magnesium or Mg without 
working scores this mark","17","18","17","18","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","5","05.1","multiple choice","1","AO2","5.4.3.4","A student investigates the mass of copper produced during electrolysis of copper chloride solution.
Figure 12 shows the apparatus.
Figure 12
Which gas is produced at the positive electrode (anode)?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | carbon dioxide |
| ☐ | chlorine |
| ☐ | hydrogen |
| ☐ | oxygen |","chlorine","","18","18","18","18","true","Figure 12","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","5","05.2","multiple choice","1","AO2","5.4.3.4","Copper is produced at the negative electrode (cathode).
What does this tell you about the reactivity of copper?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | Copper is less reactive than hydrogen |
| ☐ | Copper is less reactive than oxygen |
| ☐ | Copper is more reactive than carbon |
| ☐ | Copper is more reactive than chlorine |","copper is less reactive than hydrogen","","19","19","19","19","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","5","05.3","calculation","1","AO3","5.4.3.4","Table 4 shows the student’s results.

Table 4
| Time in mins | Experiment 1 | Experiment 2 | Experiment 3 | Mean |
|--------------|--------------|--------------|--------------|------|
| 1            | 0.60         | 0.58         | 0.62         | 0.60 |
| 2            | 1.17         | 1.22         | 1.21         | 1.20 |
| 4            | 2.40         | 2.41         | 2.39         | 2.40 |
| 5            | 3.02         | X            | 3.01         | 3.06 |

Determine the mean mass of copper produced after 3 minutes.
[1 mark]
Mass = ____ mg","1.8 (mg) allow an answer in range 1.7‒1.9","","19","19","19","19","false","","true","Table 4","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","5","05.4","calculation","2","AO2","5.4.3.4","Calculate the mass X of copper produced in Experiment 2 after 5 minutes.
Use Table 4 on page 19
[2 marks]
Mass X = ____ mg","3.02 + 3.01 + x
3 = 3.06
3.15 (mg)
an answer of 3.15 (mg) scores 2 marks
allow any other suitable method","allow any other suitable method
if no other mark awarded allow 
9.18 for 1 mark","20","20","20","20","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","5","05.5","calculation","3","AO2","5.3.2.5","The copper chloride solution used in the investigation contained 300 grams per dm3 of solid CuCl2 dissolved in 1 dm3 of water.
The students used 50 cm3 of copper chloride solution in each experiment.
Calculate the mass of solid copper chloride used in each experiment.
[3 marks]
Mass = ____ g","50 / 1000 or 1 / 20 or 0.05
(0.05) × 300
15 (g)
or
300 / 1000 or 3 / 10 or 0.3 (1)
(0.3) × 50 (1)
15 (g) (1)
an answer of 15 (g) scores 3 marks
the second mark is dependent on the first mark being scored","the second mark is dependent 
on the first mark being scored
the second mark is dependent 
on the first mark being scored
if no other mark awarded allow 
150 or 15 000 for 1 mark","20","21","20","21","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","6","06.1","short answer","2","AO2","5.1.1.7, 5.1.2.1","This question is about sodium and chlorine.
Figure 13 shows the positions of sodium and chlorine in the periodic table.
Figure 13
State one difference and one similarity in the electronic structure of sodium and of chlorine.
[2 marks]
Difference ____________________
Similarity ____________________","(difference)
sodium has one and chlorine has seven electrons in outer level / shell 
or 
number of electrons 
(similarity)
both have three / same number of levels / shells 
or 
have electrons in third level / shell 
or 
both have incomplete (outer) levels / shells","number of electrons must be 
correct if quoted
allow both have 2 electrons in 
inner shell
or 
both have 8 electrons in second 
shell
or 
both are one electron away from 
full outer level / shell","21","21","21","21","true","Figure 13","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","6","06.2","extended response","4","AO1","5.2.1.2","Sodium atoms react with chlorine atoms to produce sodium chloride (NaCl).
Describe what happens when a sodium atom reacts with a chlorine atom.
Write about electron transfer in your answer.
[4 marks]","sodium (atom) loses
one (outer shell electron)
chlorine (atom) gains
one (electron)","allow marks from suitable 
diagram(s)
allow moves / transfers for loses
do not accept sodium ion loses
do not accept chloride
transfer of 1 electron from 
chlorine to sodium max 2 marks
reference to sharing or covalent 
bonding max 3 marks","21","22","21","22","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","6","06.3","short answer","2","AO1","5.5.1.2","The reaction between sodium and chlorine is an exothermic reaction.
Complete the reaction profile for the reaction between sodium and chlorine.
[2 marks]
Figure 14","ignore labels
any curve / line going up and then down 
products line below reactants","ignore labels
any curve / line going up and 
then down 
products line below reactants
allow curve to start / finish 
anywhere along reactant / 
product lines","22","22","22","22","true","Figure 14","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","7","07","extended response","6","AO3","5.4.2.3","A student plans a method to prepare pure crystals of copper sulfate.
The student’s method is:
1. Add one spatula of calcium carbonate to dilute hydrochloric acid in a beaker.
2. When the fizzing stops, heat the solution with a Bunsen burner until all the liquid is gone.
The method contains several errors and does not produce copper sulfate crystals.
Explain the improvements the student should make to the method so that pure crystals of copper sulfate are produced. 
[6 marks]","Level 3: Relevant points (reasons / causes) are identified, given in detail and logically linked to form a clear account. 5–6
Level 2: Relevant points (reasons / causes) are identified, and there are attempts at logical linking. The resulting account is not fully clear. 3–4
Level 1: Points are identified and stated simply, but their relevance is not clear and there is no attempt at logical linking. 1–2
No relevant content 0

Indicative content:
• uses sulfuric acid not hydrochloric acid or sulfuric acid needed
• uses copper carbonate / oxide not calcium carbonate or copper carbonate / oxide needed
• add solid until solid remains or is in excess or no more reacts / dissolves so that most / all of the acid reacts
• filter to remove excess or unreacted carbonate / oxide / solid
• heat gently or partially evaporate or leave until crystals appear or to crystallise
for level 3 the correct chemicals must have been selected","for level 3 the correct chemicals must have been selected","23","23","23","23","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN19","AQA GCSE Combined Science: Chemistry Paper 1F, 2019","2019","1","01.1","multiple choice","1","AO1","5.5.1.1","This question is about energy changes.
Which of these items uses an endothermic reaction?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | Hand warmer |
| ☐ | Sports injury pack |
| ☐ | Self-heating can |","sports injury pack","","2","2","10","10","true","Figure 1","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN19.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN19.PDF"
