session,Paper,Year,question_id,Question,Type,Marks,AO,Spec Code,Text,Mark Scheme,Extra Notes,question_page_start,question_page_end,mark_scheme_start_page,mark_scheme_end_page,has_figure,figure_labels_joined,has_table,table_labels_joined,source_qp,source_ms,figure_labels,table_labels,PDF Link
Jun18, 1H,2018,2,2.6,calculation,2,AO2,4.4.2.2,"After five minutes of exercise, the heart rate of person S was 132 beats per minute.
 When person S rested, his heart rate decreased steadily at a rate of 12 beats 
 every minute.
 Calculate how much time it would take the heart rate of person S to return to its 
 resting rate.
 
 Time = minutes","132 - 78 = 54
 54 / 12 = 4.5 (minutes) / 4½ minutes / 4 minutes 30 seconds / 4:30","an answer of 4.5 minutes scores 2 marks
 allow
 54
 12
 allow sequential deductions of 12 four or five times
 do not accept 4:50 
 or 4 minutes 50 seconds",11,12,11,11,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1ICqDyHbLolMNokael6NxNlC8JNssomJL/view
Jun18, 1H,2018,2,2.7,extended response,6,AO3,4.4.2.2,"A student made the following hypothesis about the heart rate of smokers and 
 non-smokers during exercise.
 “During exercise, the heart rate of smokers increases more than the heart rate 
 of non-smokers.”
 Design an investigation that would allow you to test this hypothesis.","Level 3: The method would lead to the production of a valid outcome. All key steps are identified and logically sequenced.
 Level 2: The method would not necessarily lead to a valid outcome. Most steps are identified, but the method is not fully logically sequenced.
 Level 1: The method would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear.
 No relevant content
 Indicative content
 • two groups of people - non-smokers and smokers
 • have at least five people in each group or large groups
 • get each person to do (named) exercise
 • controlled variables:
 - same number of people in each group or large groups
 - same gender
 - same level of activity / exercise
 - same age
 - no health issues / illnesses
 - same type of exercise
 - same time for exercise
 • record heart rate for each person before and after exercise
 • calculate increase in heart rate for each person after exercise
 • compare results for each group","for level 3, students should refer to at least 5 smokers and 5 non-smokers, carrying out exercise with control variables and a means of determining an increase in heart rate
 for level 2, students should refer to ‘groups’ of smokers and non-smokers exercising",12,12,11,11,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1ICqDyHbLolMNokael6NxNlC8JNssomJL/view
Jun18, 1H,2018,3,3.1,short answer,2,AO1,4.2.2.3,"The circulatory system is composed of the blood, blood vessels and the heart.
 Urea is transported in the blood plasma.
 Name two other substances transported in the blood plasma.
 1
 2","any two from:
 • carbon dioxide
 • water
 • glucose
 • amino acids
 • lactic acid","allow proteins / hormones / antibodies / vitamins / minerals / ions / fatty acids / glycerol
 ignore sugar / enzymes / nutrients / waste",13,13,12,12,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1B0sDlOUhrHG0z4TbmsgDc0rnyTnKBchP/view
Jun18, 1H,2018,3,3.2,short answer,3,AO1,4.2.2.3; 4.4.2.2,"Some athletes train at high altitude.
 Training at high altitude increases the number of red blood cells per cm3 of blood.
 Explain why having more red blood cells per cm3 of blood is an advantage to 
 an athlete.","more haemoglobin (therefore) more oxygen can be carried / transported
 (for) more (aerobic) respiration of muscle (cells)
 or
 more energy released for muscle (cells)","max 2 marks if ‘more’ is not given
 allow less anaerobic respiration / lactic acid / oxygen debt / fatigue in muscle (cells) 
 ie addition of 'debt
 do not accept energy produced",13,13,12,12,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1B0sDlOUhrHG0z4TbmsgDc0rnyTnKBchP/view
Jun18, 1H,2018,3,3.3,multiple choice,2,AO1,4.2.2.2,"Which two blood vessels carry deoxygenated blood?
 Tick two boxes.
 [ ] Aorta
 [ ] Coronary artery
 [ ] Pulmonary artery
 [ ] Pulmonary vein
 [ ] Vena cava","pulmonary artery
 vena cava",,13,14,12,12,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1B0sDlOUhrHG0z4TbmsgDc0rnyTnKBchP/view
Jun18, 1H,2018,3,3.4,multiple choice,1,AO1,4.2.2.2,"Figure 4 shows the three types of blood vessel.
 Which type of blood vessel carries blood into the right atrium?
 Tick one box.
 [ ] A
 [ ] B
 [ ] C",B,,14,14,12,12,TRUE,Figure 4,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,['Figure 4'],[],https://drive.google.com/file/d/1B0sDlOUhrHG0z4TbmsgDc0rnyTnKBchP/view
Jun18, 1H,2018,3,3.5,short answer,3,AO1,4.2.2.2,Compare the structure of an artery with the structure of a vein.,"any three from:
 • arteries have a thicker layer of muscle (tissue) or veins have a thinner layer of muscle (tissue)
 • arteries have a thicker layer of elastic tissue or veins have a thinner layer of elastic tissue
 • arteries have a narrower lumen or veins have a wider lumen
 • arteries do not have valves and veins have valves","if neither marking points 1 or 2 awarded, allow arteries have a thick wall and veins have a thin wall 
 or 
 arteries have a thicker wall 
 or veins have a thinner wall 
 for 1 mark
 do not accept ‘cell wall’
 allow descriptions of ‘lumen’
 allow only veins have valves",14,15,12,12,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1B0sDlOUhrHG0z4TbmsgDc0rnyTnKBchP/view
Jun18, 1H,2018,3,3.6,short answer,1,AO1,4.2.2.2,"Heart rate is controlled by a group of cells. This group of cells act as a pacemaker.
 Figure 5 shows a section through the heart.
 Draw an X on Figure 5 to show the position of the pacemaker.",allow an X drawn anywhere in grey shaded area below:,"if a large X is drawn, award the mark if the intersection touches the grey area
 if a label line is used, award marks if the end of the label line touches the grey area
 allow label ‘pacemaker’
 ignore label ‘right atrium’",15,15,12,12,TRUE,Figure 5,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,['Figure 5'],[],https://drive.google.com/file/d/1B0sDlOUhrHG0z4TbmsgDc0rnyTnKBchP/view
Jun18, 1H,2018,3,3.7,short answer,1,AO1,4.2.2.2,"A patient may be fitted with an artificial pacemaker.
 What condition may be treated using an artificial pacemaker?",an irregular heart beat,"allow arrhythmia
 allow fibrillation
 ignore heart failure 
 do not accept cardiovascular disease / heart murmur",15,15,12,12,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1B0sDlOUhrHG0z4TbmsgDc0rnyTnKBchP/view
Jun18, 1H,2018,4,4.1,short answer,1,AO3,4.1.3.2,"A student carried out an investigation using chicken eggs.
 This is the method used.
 1. Place 5 eggs in acid for 24 hours to dissolve the egg shell.
 2. Measure and record the mass of each egg.
 3. Place each egg into a separate beaker containing 200 cm3 of distilled water.
 4. After 20 minutes, remove the eggs from the beakers and dry them gently with a 
 paper towel.
 5. Measure and record the mass of each egg.
 Table 4 shows the results.
 
 Table 4
 | Egg | Mass of egg without shell in grams | Mass of egg after 20 minutes in grams |
 | :-- | :--------------------------------- | :------------------------------------ |
 | 1 | 73.5 | 77.0 |
 | 2 | 70.3 | 73.9 |
 | 3 | 72.4 | 75.7 |
 | 4 | 71.6 | 73.1 |
 | 5 | 70.5 | 73.8 |
 Another student suggested that the result for egg 4 was anomalous.
 Do you agree with the student? 
 Give a reason for your answer.","(yes, because) the mass change (of egg 4) is much lower than the others","allow because it / egg 4 has gained (over) 50% less mass than the others
 allow it / egg 4 has gained 1.5 g and the others have all gained more than 3 g (unit required)",16,17,13,13,FALSE,,TRUE,Table 4,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 4'],https://drive.google.com/file/d/1rXHU2R5Ut6P_okji4Efyy7FOOQyNnWwW/view
Jun18, 1H,2018,4,4.2,calculation,2,AO2,4.1.3.2,"Calculate the percentage change in mass of egg 3.
 
 Percentage change in mass =","75.7 - 72.4 = 3.3
 (3.3 / 72.4) × 100 = 4.558…
 4.6 (%)","an answer of 4.6 / 4.56 / 4.558 scores 2 marks
 or equivalent
 allow 4.558 / 4.56 (%)
 allow any correct rounding of 4.558011049723757",17,17,13,13,FALSE,,TRUE,Table 4,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 4'],https://drive.google.com/file/d/1rXHU2R5Ut6P_okji4Efyy7FOOQyNnWwW/view
Jun18, 1H,2018,4,4.3,short answer,3,AO2,4.1.3.2,Explain why the masses of the eggs increased.,"(mass increased because) water entered by osmosis
 from a dilute solution in the beaker to a more concentrated solution in the egg (cell)
 through a partially permeable membrane","allow from an area of high water concentration in the beaker to
 an area of low water concentration in the egg (cell)
 allow ref to water potential
 allow ref to ‘strong’ and ‘weak’ solutions
 ignore along / across concentration gradient
 do not accept ‘amount’ in place of concentration
 allow semi-permeable / selectively permeable membrane",17,17,13,13,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1rXHU2R5Ut6P_okji4Efyy7FOOQyNnWwW/view
Jun18, 1H,2018,4,4.4,extended response,3,AO3,4.1.3.2,"Explain how the student could modify the investigation to determine the concentration 
 of the solution inside each egg.","use five (or more) different concentrations of salt / sugar solution (in beakers)
 (by) plotting percentage change (in mass / volume) on / using a graph
 determine the concentration where the curve / line crosses the zero percentage change (in mass / volume)",allow any number of concentrations provided it is more than four,17,17,13,13,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1rXHU2R5Ut6P_okji4Efyy7FOOQyNnWwW/view
Jun18, 1H,2018,4,4.5,short answer,3,AO2,4.1.3.3,"Chicken egg shells contain calcium. Calcium ions are moved from the shell into the 
 cytoplasm of the egg.
 Table 5 shows information about the concentration of calcium ions.
 
 Table 5
 | Location | Concentration of calcium ions in arbitrary units |
 | :-------------- | :----------------------------------------------- |
 | Egg shell | 0.6 |
 | Egg cytoplasm | 2.1 |
 Explain how calcium ions are moved from the shell into the cytoplasm of the egg.","(ions are moved) from an area of low concentration to high concentration
 (by) active transport
 (which) requires using energy","allow against the concentration gradient
 allow in terms of solution
 do not accept molecules
 do not accept idea of energy being created",18,18,13,13,FALSE,,TRUE,Table 5,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 5'],https://drive.google.com/file/d/1rXHU2R5Ut6P_okji4Efyy7FOOQyNnWwW/view
Jun18, 1H,2018,5,5.1,short answer,1,AO2,4.2.3.2,"Plants can be infected by fungi, viruses and insects.
 Aphids are small insects that carry pathogens.
 Figure 6 shows an aphid feeding from a plant stem.
 An aphid feeds by inserting its sharp mouthpiece into the stem of a plant.
 Give the reason why the mouthpiece of an aphid contains a high concentration of 
 dissolved sugars after feeding.",(mouthpiece) has pierced / entered the phloem or (the aphid) has been feeding from the phloem,,19,19,14,14,TRUE,Figure 6,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,['Figure 6'],[],https://drive.google.com/file/d/1wG-fMHaCcrsR45ik6yGYacwXm80CXcya/view
Jun18, 1H,2018,5,5.2,extended response,5,AO1,4.3.3.1; 4.4.1.1; 4.4.1.3,"Plants infected with aphids may show symptoms of magnesium deficiency.
 Magnesium deficiency symptoms include:
 • yellow leaves
 • stunted growth.
 Explain how a deficiency of magnesium could cause these symptoms.","yellow leaves due to lack of chlorophyll
 (therefore) less / no light absorbed (by chlorophyll)
 (therefore) lower rate of / no photosynthesis
 (therefore) plant makes less / no sugar / glucose
 (therefore) plant converts less / no sugar / glucose into protein (for growth, so growth is stunted)","ignore ‘choroplasts’
 ignore magnesium is needed to make chorophyll
 do not allow ‘energy is produced by photosynthesis’
 allow less glucose / sugar converted into cellulose (cell wall)
 allow less energy for protein synthesis",20,20,14,14,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1wG-fMHaCcrsR45ik6yGYacwXm80CXcya/view
Jun18, 1H,2018,5,5.3,extended response,4,AO1,4.3.2.1,"A farmer thinks a potato crop is infected with potato virus Y (PVY).
 The farmer obtains a monoclonal antibody test kit for PVY.
 To make the monoclonal antibodies a scientist first isolates the PVY protein from 
 the virus.
 Describe how the scientist would use the protein to produce the PVY 
 monoclonal antibody.","inject the protein / it into a mouse
 combine lymphocytes with tumour / cancer cells to make hybridoma (cells)
 find a hybridoma which makes a monoclonal antibody specific to PVY
 (the scientist) clones (the hybridoma) to produce many cells (to make the antibody)","ignore white blood cells
 allow T or B lymphocytes
 ignore tumour unqualified
 do not allow cloning of original stem cells
 allow many rounds of cloning / mitosis",21,21,14,14,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1wG-fMHaCcrsR45ik6yGYacwXm80CXcya/view
Jun18, 1H,2018,7,7.1,calculation,3,AO2,4.2.2.1,"Table 8 shows information about some food components in cow’s milk.
 
 Table 8
 | | Value per 500 cm3 | Recommended Daily Allowance (RDA) for a typical adult |
 | :------------- | :---------------- | :---------------------------------------------------- |
 | Energy in kJ | 1046 | 8700 |
 | Fat in g | 8.4 | 70.0 |
 | Salt in g | 0.5 | 6.0 |
 | Calcium in mg | 605 | 1000 |
 | Vitamin B-12 in µg | 4.5 | 2.4 |
 How much more milk would a typical adult have to drink to get their RDA for calcium 
 compared with the amount of milk needed to get their RDA for vitamin B-12?
 
 Volume of milk = cm3","(for calcium)
 500 / 0.605 = 826.446281 (cm3)
 (for vitamin B-12)
 500 / (4.5 × 2.4) = 500 / 10.8 = 46.296 (cm3)
 choose the lower value: 46.3 (cm3)","an answer of 560 / 559.8 / 559.78 / 559 (cm3) scores 3 marks
 an incorrect answer for one step does not prevent allocation of marks for subsequent steps 
 allow any correct rounding to minimum 3 significant figures
 allow alternative route with correct rounding
 allow alternative route with correct rounding
 allow only correct answer based on values given for vitamin B-12 and calcium",24,25,16,16,FALSE,,TRUE,Table 8,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 8'],https://drive.google.com/file/d/1uYwjjKOW7NpI7THSCuHQCMB8wcORBwsH/view
Jun18, 1H,2018,7,7.2,extended response,6,AO1,4.2.2.1,"Describe how a student could test cow’s milk to show whether it contains protein and 
 different types of carbohydrate.","Level 2: Scientifically relevant facts, events or processes are identified and given in detail to form an accurate account.
 Level 1: Facts, events or processes are identified and simply stated but their relevance is not clear.
 No relevant content
 Indicative content
 • Biuret reagent (allow CuSO4 and NaOH) tests for protein
 • add Biuret reagent to milk
 • solution will turn (from blue) to lilac if positive
 • iodine solution tests for starch (ignore iodine unqualified)
 • add iodine solution to milk
 • solution will turn (from orange / brown) to blue / black if positive
 • Benedict’s reagent tests for sugars
 • add Benedict’s reagent to milk and boil / heat (allow any temperature above 60 °C)
 • solution will turn (from blue) to (brick) red / brown / orange / yellow / green if positive","for level 2, reference to all three food tests is required",25,26,16,16,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1uYwjjKOW7NpI7THSCuHQCMB8wcORBwsH/view
Jun18, 1H,2018,7,7.3,short answer,3,AO2,4.2.2.1,"A scientist investigated the effect of bile on the breakdown of fat in a sample of milk.
 The scientist used an indicator that is colourless in solutions with a pH lower than 10, 
 and pink in solutions with a pH above 10.
 This is the method used.
 1. Add 1 drop of bile to a test tube and one drop of water to a second test tube.
 2. Add the following to each test tube:
 • 5 cm3 of milk
 • 7 cm3 of sodium carbonate solution (to make the solution above pH 10)
 • 5 drops of the indicator
 • 1 cm3 of lipase.
 3. Time how long it takes for the indicator in the solutions to become colourless.
 The results are shown in Table 9.
 
 Table 9
 | | Time taken for the indicator to become colourless in seconds |
 | :-------------------------- | :--------------------------------------------------------- |
 | Solution with bile | 65 |
 | Solution without bile | 143 |
 Explain why the indicator in both tubes became colourless.","lipase breaks down fat into fatty acids (and glycerol)
 (and) fatty acids lower the pH
 (and when) fatty acids cause the pH to be below 10 (the indicator becomes colourless)",do not accept if ‘glycerol’ is contradicted,26,27,16,16,FALSE,,TRUE,Table 9,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 9'],https://drive.google.com/file/d/1uYwjjKOW7NpI7THSCuHQCMB8wcORBwsH/view
