exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,page_start,page_end,has_figure,figure_labels_joined,has_table,table_labels_joined,figure_labels,table_labels
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q04.1,Q04.1,short answer,1,AO1,5.1.2.6,"This question is about Group 7 elements.
What are the Group 7 elements known as?",halogens,,11,11,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q04.2,Q04.2,short answer,1,AO1,5.1.2.6,Why do Group 7 elements react in similar ways?,all have 7 electrons in outer shell or all have 7 outer electrons,"allow energy level for shell
allow same number of outer electrons
allow one electron required to complete the outer shell",11,11,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q04.3,Q04.3,short answer,1,AO2,5.2.1.4,"Figure 3 shows the structure of a molecule of chlorine oxide.
Figure 3
What is the molecular formula of the chlorine oxide molecule in Figure 3?",Cl2O7,,11,11,TRUE,Figure 3,FALSE,,Figure 3,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q04.4,Q04.4,table completion,2,AO2,5.1.2.6,"Figure 4 shows the melting points of some Group 7 elements.
Figure 4
The melting point of fluorine is –220 °C
Complete Figure 4.
You should:
• complete the scale on the y-axis
• draw the bar for the melting point of fluorine.","y-axis scale correct from –100 to –250 °C
bar correctly plotted at –220 °C",allow a tolerance of ±½ a small square,12,12,TRUE,Figure 4,FALSE,,Figure 4,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q04.5,Q04.5,extended response,3,AO3,5.1.2.6; 5.2.2.4,"Explain the trend in the melting points of the Group 7 elements. 
Use Figure 4.","(the) molecules increase in size going down the group
(so the) forces between the molecules increase or (so the) intermolecular forces increase
(so the) melting points increase going down the group or (so the) melting points increase with increasing relative atomic mass","allow converse explanation in terms of decreasing melting point
allow atoms increase in size going down the group
allow increase in number of electron shells going down group
allow (so) more energy is needed to separate the molecules",13,13,TRUE,Figure 4,FALSE,,Figure 4,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q04.6,Q04.6,multiple choice,1,AO3,5.1.2.6; 5.2.2.1; 5.2.2.2,"What is the state symbol for bromine at –50 °C?
Use Figure 4.
Tick (✓) one box.

|   |   |
|---|---|
| □ | (aq) |
| □ | (g) |
| □ | (l) |
| □ | (s) |",(s),,13,13,TRUE,Figure 4,FALSE,,Figure 4,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q04.7,Q04.7,short answer,1,AO1,5.2.2.1,"Evaporation and boiling occur at the surface of bromine at its boiling point.
Name one more process that happens at the surface of bromine at its boiling point.",condensation,"allow condensing
ignore evaporating and boiling",13,13,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q05.1,Q05.1,short answer,1,AO1,5.2.3.3,"This question is about structure and bonding.
Figure 5 represents part of a carbon molecule.
Figure 5
Name the type of carbon molecule in Figure 5.",fullerene,"allow (carbon) nanotube
do not accept Buckministerfullerene",14,14,TRUE,Figure 5,FALSE,,Figure 5,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q05.2,Q05.2,short answer,1,AO2,5.2.3.3,Suggest one property that makes the carbon molecule in Figure 5 useful in nanotechnology.,"any one from:
• conducts heat
• conducts electricity
• very high length to diameter ratio","allow large surface area to volume ratio
allow high tensile strength
allow can trap other molecules / atoms / ions",14,14,TRUE,Figure 5,FALSE,,Figure 5,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q05.3,Q05.3,extended response,4,AO1,5.2.2.7,"An alloy of aluminium contains small amounts of other metals.
Explain why other metals are added to aluminium.","other metal atoms have different sizes to aluminium atoms
(so) the layers of aluminium atoms are distorted
(so) the layers cannot slide
(which) makes the alloy harder","allow (so) the atoms cannot slide over each other
allow (which) makes the alloy stronger",15,15,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q05.4,Q05.4,extended response,3,AO1,5.2.2.5,"Figure 6 represents part of the structure of a polymer.
Figure 6
Compare the bonding within the chains with the forces between the chains in this polymer.","covalent bonds (between atoms) in the chain
intermolecular forces between the chains
covalent bonds are strong and intermolecular forces are weak",,15,15,TRUE,Figure 6,FALSE,,Figure 6,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q06.1,Q06.1,short answer,2,AO1,5.1.2.6; 5.2.1.4,"This question is about hydrogen chloride and hydrochloric acid.
Complete the dot and cross diagram to represent the bonding in hydrogen chloride on Figure 7.
Use dots (o) and crosses (x) to represent electrons.
You should show only the electrons in the outer shells.
Figure 7","one shared pair in overlap
6 non-bonding electrons in outer shell of chlorine","allow any combination of circles, dots, crosses or e(–)
do not accept extra electron(s) on outer shell of hydrogen
ignore any inner shell electrons
an answer of
scores 2 marks",16,16,TRUE,Figure 7,FALSE,,Figure 7,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q06.2,Q06.2,short answer,1,AO1,5.4.2.5,"Hydrogen chloride dissolves in water to produce hydrochloric acid.
Hydrochloric acid is a strong acid.
What is meant by the term strong acid?",completely ionises in aqueous solution,allow completely dissociates in aqueous solution,16,16,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q06.3,Q06.3,short answer,2,AO3,5.4.2.5,Describe how magnesium can be used to distinguish between a strong acid and a weak acid of the same concentration.,fizzing / effervescence or magnesium disappears at a greater rate with a strong acid,"allow converse with weak acid
allow for 2 marks strong acid has a greater temperature increase",16,16,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q06.4,Q06.4,calculation,2,AO1,5.4.2.5,"The concentration of hydrochloric acid is increased by a factor of 100
What is the change in pH?",(pH) decreases by (a unit of) 2,allow pH is lower,17,17,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q06.5,Q06.5,calculation,4,AO2,5.5.1.3,"Ethene and hydrogen chloride react to produce chloroethane.
The displayed formulae equation for the reaction is:
The reaction is exothermic.
In the reaction the energy released forming new bonds is 56 kJ/mol greater than the energy needed to break existing bonds.
Table 1 shows some bond energies.

| Bond   | H–C | C=C | H–Cl | C–C | C–Cl |
|--------|-----|-----|------|-----|------|
| Bond energy in kJ/mol | 413 | X | 431 | 346 | 339 |

Calculate the bond energy X.
X = ____ kJ/mol","(bonds broken = (4 × 413) + C=C + 431 =)
2083 + C=C

(bonds made = (346 + 339 + (5 × 413) =)
2750

(energy released = bonds made – bonds broken =)
56 = 2750 – [2083 + C=C]

(C=C) = 611 (kJ/mol)",allow correct use of incorrect value(s) from step 1 and / or step 2,18,18,FALSE,,TRUE,Table 1,,Table 1
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q07.1,Q07.1,short answer,2,AO3,5.4.1.3; 5.4.3.2; 5.4.3.3,"This question is about elements and compounds.
Figure 8 shows a reactivity series.
Figure 8
Most reactive
Potassium
Magnesium
Metal Y
Carbon
Iron
Hydrogen
Copper
Least reactive
Give the method and conditions used to extract metal Y from a compound of metal Y.","electrolysis of molten compound (of metal Y)

OR

displacement by heating with a more reactive metal 
or by heating with potassium / magnesium",allow liquid for molten,19,19,TRUE,Figure 8,FALSE,,Figure 8,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q07.2,Q07.2,table completion,2,AO2,5.1.1.1; 5.3.1.1,"Sodium reacts with titanium chloride (TiCl4) to produce titanium.
Complete the equation.
You should balance the equation.
Na + TiCl4 → ____ + ____",4 Na + TiCl4 → 4 NaCl + Ti,"allow multiples
allow 1 mark for NaCl and Ti with incorrect / no balancing",20,20,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q07.3,Q07.3,short answer,2,AO2,5.4.1.2; 5.4.1.4,"The reaction between sodium and titanium chloride is a redox reaction.
Write a half-equation to show that sodium is oxidised in this reaction.",Na → Na⁺ + e⁻,"ignore state symbols
allow multiples
allow 1 mark for Na → Na+ + e– with incorrect balancing",20,20,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q07.4,Q07.4,calculation,6,AO2,5.3.2.2; 5.3.2.4,"108 g of aluminum reacts with 1.21 kg of copper chloride to produce copper.
The equation for the reaction is:
2Al + 3 CuCl2 → 3 Cu + 2AlCl3
Calculate the maximum mass of copper produced in grams (g).
You should determine the limiting reactant.
Relative atomic masses (Ar): Al = 27 Cu = 63.5
Relative formula masses (Mr): CuCl2 = 134.5 AlCl3 = 133.5
Limiting reactant is ____
Mass of copper = ____ g","method 1:
moles of Al = 108/27 = 4
moles CuCl2 = 1210/134.5 = 8.996

(identifying limiting reactant)
4 moles Al gives 6 moles Cu
8.996 moles CuCl2 gives 8.996 moles Cu
therefore aluminium is the limiting reactant

mass of Cu = 2 × 3 × 63.5 = 6 × 63.5 = 381 (g)","allow 9
allow correct use of an incorrectly calculated value(s) for moles of Al and / or CuCl2
must follow on from MP3

method 2:
2Al + 3CuCl2 → 3Cu + 2AlCl3
(2×27) (3×134.5) (3×63.5)
54(g) 403.5(g) 190.5(g)
(1) (1) (1)
(so)
108 g Al (reacts with 807 g CuCl2) to produce 381 g Cu (1)
(so) there is excess CuCl2
or
807 g CuCl2 is less than 1210 g CuCl2 (1)
therefore aluminium is limiting reactant (1)

method 3:
134.5 g CuCl2 produces 63.5 g Cu (1)
(mass conversion 1.21 kg CuCl2 =) 1210 (g) (1)
1210 g CuCl2 produces (63.5/134.5 × 1210 =) 571 g Cu (1)
54 g Al produces 190.5 g Cu (1)
108 g Al produces (190.5/54 × 108 =) 381 (g) (1)
(therefore) aluminium is the limiting reactant (1)
allow correct use of an incorrect calculation of mass for Al / CuCl2 / Cu
must follow on from MP4 / MP5
allow correct use of an incorrect / no conversion of mass of CuCl2
must follow on from MP3 and MP5",21,21,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q07.5,Q07.5,short answer,2,AO1,5.2.2.8,"Sodium metal and sodium chloride are both able to conduct electricity.
Describe how sodium metal conducts electricity.",delocalised electrons carry (electrical) charge through the metal / sodium,"allow free electrons
ignore throughout for through
ignore current / electricity
MP2 is dependent upon MP1",22,22,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q07.6,Q07.6,extended response,3,AO1,5.2.2.3,Explain how sodium chloride can conduct electricity.,"(conducts electricity) when liquid / molten

or (conducts electricity) in (aqueous) solution

(because) ions

(ions) are free to move

or (ions) allow charge to flow",allow (conducts electricity) when dissolved in water,22,22,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q01,Q01.1,multiple choice,1,AO1,5.4.2.4,"This question is about carbon dioxide.
Carbon dioxide is soluble in water and forms an acidic solution.
Which ion makes the solution acidic?
[1 mark]
Tick () one box.",hydrogen / H+,,3,3,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q01,Q01.2,short answer,2,AO1,5.4.2.4,"Name an indicator that could be used to test if the solution is acidic.
Give the result of the test.
[2 marks]
Indicator
________________________
Result
________________________","(indicator) universal
(result) (green to) red / orange / yellow
OR
(indicator) (blue) litmus (1) 
(result) (turns) red (1)
OR
(indicator) methyl orange (1) 
(result) (turns) red (1)","MP2 is dependent upon MP1 
being awarded
ignore pH meter",3,3,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q01,Q01.3,multiple choice,1,AO3,5.3.2.5,"Figure 1 shows the mass of carbon dioxide that will dissolve in 1 dm3 of water at different temperatures.
Figure 1
How does the solubility of carbon dioxide change as the temperature of the water increases?
[1 mark]
Tick () one box.",the solubility decreases,,4,4,TRUE,Figure 1,FALSE,,Figure 1,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q01,Q01.4,multiple choice,1,AO3,5.3.2.5; 5.4.2.4,"Carbon dioxide dissolves in water to form an acidic solution.
How does the pH of the solution change as the temperature of the water increases? Use Figure 1.
[1 mark]
Tick () one box.",pH of the solution increases,,5,5,TRUE,Figure 1,FALSE,,Figure 1,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q01,Q01.5,multiple choice,1,AO2,5.2.2.2,"Calcium carbonate reacts with hydrochloric acid to produce carbon dioxide.
The equation for the reaction is:
CaCO3(s) + 2 HCl(aq) → CaCl2(aq) + CO2(g) + H2O(x)
What is the state symbol (x) in the equation?
[1 mark]
Tick () one box.",(l),,5,5,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q01,Q01.6,short answer,6,AO3,5.3.1.3; 5.4.2.2,"Figure 2 shows equipment a student used for an investigation.
Figure 2
The student investigated the volume of carbon dioxide produced when different masses of calcium carbonate react with hydrochloric acid. 
Describe a method the student could use.
[6 marks]","Level 3: The method would lead to the production of a valid outcome. All key steps are identified and logically sequenced. 5–6
Level 2: The method would not necessarily lead to a valid outcome. Most steps are identified, but the plan is not fully logically sequenced. 3–4
Level 1: The method would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear. 1–2
No relevant content 0

Indicative Content:
• measure a (stated) mass of calcium carbonate
• use a balance
• add calcium carbonate into a conical flask
• measure a (stated) volume of hydrochloric acid
• use a measuring cylinder
• add hydrochloric acid to the conical flask
• immediately place the stopper (and delivery tube) in the conical flask
• record the total volume of carbon dioxide gas
or
record volume of carbon dioxide collected in set time 
or
time taken to collect fixed volume of gas
• collected in the gas syringe
• repeat
• repeat method with different masses of calcium carbonate",,6,6,TRUE,Figure 2,FALSE,,Figure 2,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q02,Q02.1,multiple choice,1,AO1,5.4.2.2; RPA8,"Lithium hydroxide reacts with sulfuric acid to produce lithium sulfate.
The equation for the reaction is:
2 LiOH + H2SO4 → Li2SO4 + 2 H2O
What type of reaction is this?
[1 mark]",neutralisation,allow exothermic,8,8,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q02,Q02.2,calculation,2,AO2,5.3.1.2,"Calculate the relative formula mass (Mr) of sulfuric acid (H2SO4). 
Relative atomic masses (Ar): H = 1  O = 16  S = 32
[2 marks]
Relative formula mass (Mr) = ____",(Mr =) (1 × 2) + 32 + (4 × 16) = 98,,8,8,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q02,Q02.3,calculation,4,AO2,5.3.1.2,"Calculate the percentage by mass of oxygen in lithium sulfate (Li2SO4). 
Relative atomic mass (Ar): O = 16
Relative formula mass (Mr): Li2SO4 = 110
Give your answer to 2 significant figures.
[4 marks]
Percentage by mass of oxygen (2 significant figures) = ____ %","(Ar O × 4 =) 4 × 16 = 64
(percentage of oxygen =) 64/110 × 100 = 58.18 = 58 (%)","allow correct use of incorrectly 
determined mass of oxygen
allow a correctly calculated 
answer to 2 significant figures 
from an incorrect calculation 
which uses the values in the 
question",9,9,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q02,Q02.4,calculation,3,AO2,5.3.2.5,"A solution of lithium sulfate contains 0.30 g of lithium sulfate in 25 cm3.
Calculate the concentration of lithium sulfate in g/dm3.
[3 marks]
Concentration = ____ g/dm3","(unit conversion) (25 cm3 ÷ 1000) = 0.025 dm3
(conc =) 0.30 / 0.025 (g/dm3) = 12 (g/dm3)
alternative approach:
(conc =) 0.30 / 25 (g/cm3) = 0.012 (g/cm3)
(unit conversion) (0.012 × 1000) = 12 (g/dm3)","allow correct use of incorrect / 
no unit conversion
 
allow correct conversion of an 
incorrect concentration 
calculation",9,9,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q03,Q03.1,short answer,1,AO2,5.1.1.1; 5.1.2.5; 5.3.1.1; 5.4.1.1,"Sodium is in Group 1 of the periodic table.
Sodium reacts with oxygen to produce sodium oxide.
Balance the equation for the reaction.
[1 mark]
Na + O2 → Na2O",4 Na + O2 → 2 Na2O,allow multiples,10,10,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q03,Q03.2,short answer,4,AO1,5.1.1.7; 5.1.2.3; 5.1.2.5; 5.2.1.2,"Explain what happens to sodium atoms and to oxygen atoms when sodium reacts with oxygen to produce sodium oxide (Na2O).
Answer in terms of electrons.
[4 marks]","sodium atom loses one electron (and) oxygen atom gains two electrons (so) two sodium atoms to one oxygen atom
any one from:
• (to form) Na+ and O2-
• (to form) sodium ion(s) and oxide ion(s)
• (to form) ions with full outer shells / levels.",,10,10,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q03,Q03.3,short answer,2,AO1,5.1.2.5,"Sodium burns in a gas jar of oxygen.
Figure 3 shows the apparatus.
Figure 3
Give two observations seen during the reaction.
[2 marks]
1 ________________________
2 ________________________","yellow flame
any one from:
• sodium melts 
• white smoke / solid / powder",allow orange flame,11,11,TRUE,Figure 3,FALSE,,Figure 3,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q03,Q03.4,short answer,2,AO1,5.1.2.5,"Describe two differences in the observations if potassium is used instead of sodium.
[2 marks]
1 ________________________
2 ________________________","(potassium) (burns with a) lilac flame
burns faster","allow (burns with a) different 
colour flame
allow more vigorous reaction",11,11,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q04,Q04.1,multiple choice,1,AO1,5.1.1.3,"Group 7 elements are known as the halogens.
All atoms of Group 7 elements contain protons, neutrons and electrons.
What is the order of discovery of the proton, neutron and electron?
[1 mark]
Tick () one box.",electron → proton → neutron,,12,12,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q04,Q04.2,calculation,2,AO2,5.1.1.5,"Table 1 shows the mass of a proton and of an electron.

| Name of particle | Mass in kg        |
|------------------|------------------|
| Proton           | 1.673 × 10–27    |
| Electron         | 9.109 × 10–31    |

Calculate how many times heavier a proton is than an electron.
[2 marks]
Times heavier a proton is than an electron = ____",(times heavier =) 1.673 × 10–27 / 9.109 × 10–31 = 1837,"allow 1836.645076 correctly 
rounded to at least 3 significant 
figures",12,12,FALSE,,TRUE,Table 1,,Table 1
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q04,Q04.3,short answer,1,AO2,5.1.1.5,"A bromine atom can be represented as Br 35
81 .
What is the number of neutrons in this bromine atom?
[1 mark]",46,,13,13,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q04,Q04.4,short answer,1,AO2,5.1.1.4; 5.1.1.5,"What is the number of electrons in a bromide ion?
[1 mark]",36,,13,13,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q04,Q04.5,calculation,3,AO2,5.1.1.6,"Chlorine has two isotopes.
Table 2 shows the percentage abundance of the two isotopes of chlorine.

| Isotope        | Percentage (%) abundance |
|----------------|-------------------------|
| Cl 17 35       | 75.77                   |
| Cl 17 37       | 24.23                   |

Calculate the relative atomic mass (Ar) of chlorine.
Give your answer to 2 decimal places.
[3 marks]
Relative atomic mass (2 decimal places) = ____",(Ar =) ((35 × 75.77) + (37 × 24.23)) / 100 = 35.4846 = 35.48,"allow an answer correctly 
calculated to 2 decimal places 
from an incorrect calculation 
which uses the values in the 
question",13,13,FALSE,,TRUE,Table 2,,Table 2
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q04,Q04.6,short answer,2,AO1,5.1.2.6; 5.2.1.1; 5.2.1.4,"Figure 4 shows the outer shells in one molecule of chlorine (Cl2).
Complete the dot and cross diagram to show the electrons in the outer shells.
[2 marks]
Figure 4","one shared pair in overlap
each chlorine atom with 6 non-bonded electrons (on outer shell)","allow any combination of circles, 
dots, crosses, e(–) for electrons
ignore any inner shell electrons
the diagram below scores 2 
marks",14,14,TRUE,Figure 4,FALSE,,Figure 4,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q05,Q05.1,short answer,1,AO1,5.2.2.3; 5.4.3.1,"During electrolysis ions are discharged at the electrodes to produce elements.
A student investigates the electrolysis of sodium chloride.
Why does solid sodium chloride not conduct electricity?
[1 mark]",ions are not free to move,,15,15,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q05,Q05.2,short answer,1,AO1,5.4.3.1; 5.4.3.2,"Sodium chloride solution conducts electricity.
Complete the sentence.
[1 mark]
Sodium chloride also conducts electricity when _________________.",liquid or molten,"allow (when) the solid is melted
ignore references to aqueous 
solutions
ignore references to dissolving",15,15,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q05,Q05.3,short answer,1,AO3,5.4.3.1; 5.4.3.4; RPA9,"Figure 5 shows the apparatus for the electrolysis of sodium chloride solution.
Figure 5
Suggest an element that could be used to make the inert electrodes.
[1 mark]",carbon / graphite,allow platinum / gold / silver,16,16,TRUE,Figure 5,FALSE,,Figure 5,
